"district","school","pga","soil","building","type","built"
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","Building A Main","Permanent",1981
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","C Building - Art/Home Living/Woods","Permanent",1981
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","D Building Classrooms","Permanent",1993
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","Metal Storage (Senica)","Permanent",1981
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","Portable 2 ","Portable",1999
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","Portable 3 ","Portable",1999
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","Portable 4 ","Portable",1999
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","Portable 5 ","Portable",1999
"Arlington","Presidents Elementary",42.76,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",2004
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 1 Office","Portable",1999
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 10","Portable",1991
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 11 ","Portable",2001
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 2 ","Portable",1997
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 3 ","Portable",1997
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 4 ","Portable",2002
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 5","Portable",2001
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 6 ","Portable",1995
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 7 ","Portable",1997
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 8 ","Portable",1995
"Arlington","Stillaguamish Valley",42.4,"Firm Soil - Soft Soil","Portable 9 ","Portable",1995
"Arlington","Trafton Elementary",43.51,"Very Dense Soil/Soft Rock - Firm Soil","Covered Play","Permanent",1965
"Arlington","Trafton Elementary",43.51,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",1906
"Arlington","Transportation",42.89,"Firm Soil - Soft Soil","Pupil Transportation","Permanent",1973
"Arlington","Weston High",43.47,"Firm Soil - Soft Soil","Main Building","Permanent",1978
"Asotin-Anatone","Asotin Elementary",23.98,"Firm Soil - Soft Soil","Asotin-Anatone Elementary","Permanent",1936
"Asotin-Anatone","Asotin Junior Senior High",23.98,"Firm Soil - Soft Soil","Agriculture Building","Permanent",1976
"Asotin-Anatone","Asotin Junior Senior High",23.98,"Firm Soil - Soft Soil","District Bus Garage","Permanent",1988
"Asotin-Anatone","Asotin Junior Senior High",23.98,"Firm Soil - Soft Soil","Greenhouse","Permanent",1992
"Asotin-Anatone","Asotin Junior Senior High",23.98,"Firm Soil - Soft Soil","Main Building","Permanent",1976
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","Covered Play","Permanent",1972
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","East Addition","Permanent",1987
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","Main Building","Permanent",1972
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","Portable 601","Portable",1989
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","Portable 602","Portable",1989
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","Portable 603","Portable",2014
"Auburn","Alpac Elementary",49.46,"Firm Soil - Soft Soil","Portable 604","Portable",2014
"Auburn","Arthur Jacobsen Elementary",51.38,"Very Dense Soil and Soft Rock","Covered Play","Permanent",2007
"Auburn","Arthur Jacobsen Elementary",51.38,"Very Dense Soil and Soft Rock","Main Building","Permanent",2007
"Auburn","Arthur Jacobsen Elementary",51.38,"Very Dense Soil and Soft Rock","Portable 1","Portable",2014
"Auburn","Arthur Jacobsen Elementary",51.38,"Very Dense Soil and Soft Rock","Portable 2","Portable",2014
"Auburn","Auburn Mountainview High",51.48,"Very Dense Soil and Soft Rock","Field House","Permanent",2005
"Auburn","Auburn Mountainview High",51.48,"Very Dense Soil and Soft Rock","Greenhouse","Permanent",2005
"Auburn","Auburn Mountainview High",51.48,"Very Dense Soil and Soft Rock","Main Building","Permanent",2005
"Auburn","Auburn Mountainview High",51.48,"Very Dense Soil and Soft Rock","Portable 901","Portable",2013
"Auburn","Auburn Mountainview High",51.48,"Very Dense Soil and Soft Rock","Portable 902","Portable",2013
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Field House","Permanent",1995
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Main Building","Permanent",1995
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 901","Portable",1997
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 902","Portable",1997
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 903","Portable",1997
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 904","Portable",1997
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 905","Portable",2001
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 906","Portable",2001
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 908","Portable",2001
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 909","Portable",2001
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 910","Portable",2001
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 911","Portable",2004
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 913","Portable",2004
"Auburn","Auburn Riverside High",49.19,"Firm Soil - Soft Soil","Portable 914","Portable",2004
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Auto Shop","Permanent",1986
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Grandstand Home","Permanent",1980
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Grandstand Visitor","Permanent",1995
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Main Building - 2014","Permanent",2014
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Pool","Permanent",1970
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Temp Classroom Bulding - 2014","Permanent",1949
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Ticket Gate Home","Permanent",1980
"Auburn","Auburn Senior High",49.54,"Firm Soil - Soft Soil","Ticket Gate Visitor","Permanent",1995
"Auburn","Cascade Middle",49.76,"Firm Soil - Soft Soil","300 Building","Permanent",1967
"Auburn","Cascade Middle",49.76,"Firm Soil - Soft Soil","400 Building","Permanent",1967
"Auburn","Cascade Middle",49.76,"Firm Soil - Soft Soil","500 Building","Permanent",1967
"Auburn","Cascade Middle",49.76,"Firm Soil - Soft Soil","Gym-Commons Building","Permanent",1967
"Auburn","Cascade Middle",49.76,"Firm Soil - Soft Soil","Office-Library Building","Permanent",1967
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","200 Gym and Kitchen","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","300 Classrooms","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","400 Classrooms","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","500 Classrooms ","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","600 Classrooms","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","admin & lib","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Coverered Play ","Permanent",1985
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",1963
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Portable 112","Portable",1989
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Portable 113","Portable",1989
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Portable 114","Portable",1989
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Portable 115","Portable",1985
"Auburn","Chinook Elementary",51.43,"Very Dense Soil/Soft Rock - Firm Soil","Portable 116","Portable",1989
"Auburn","Dick Scobee Elementary",49.66,"Firm Soil - Soft Soil","600 Gym Building","Permanent",1954
"Auburn","Dick Scobee Elementary",49.66,"Firm Soil - Soft Soil","Main Building","Permanent",1954
"Auburn","Dick Scobee Elementary",49.66,"Firm Soil - Soft Soil","Portable 1","Portable",1989
"Auburn","Dick Scobee Elementary",49.66,"Firm Soil - Soft Soil","Portable 2","Portable",1989
"Auburn","Dick Scobee Elementary",49.66,"Firm Soil - Soft Soil","Portable 3","Portable",1989
"Auburn","Dick Scobee Elementary",49.66,"Firm Soil - Soft Soil","Portable 4","Portable",2014
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","100 Building","Permanent",1970
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","200 Building","Permanent",1970
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","300 Building","Permanent",1970
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","400 Building","Permanent",1970
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","500 Building","Permanent",1970
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","Portable 1","Portable",2014
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","Portable 2","Portable",2014
"Auburn","Evergreen Heights Elementary",52.32,"Very Dense Soil and Soft Rock","Portable 3","Portable",2014
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","100 Building","Permanent",1969
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","200 Gym Building","Permanent",1969
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","300 Building","Permanent",1969
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","400 Building","Permanent",1969
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","500 Building","Permanent",1969
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","Portable 701","Portable",1989
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","Portable 702","Portable",1989
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","Portable 703","Portable",2014
"Auburn","Gildo Rey Elementary",49.21,"Firm Soil - Soft Soil","Portable 704","Portable",2014
"Auburn","Hazelwood Elementary",51.43,"Very Dense Soil and Soft Rock","Covered Play Structure","Permanent",1990
"Auburn","Hazelwood Elementary",51.43,"Very Dense Soil and Soft Rock","Main Building","Permanent",1990
"Auburn","Hazelwood Elementary",51.43,"Very Dense Soil and Soft Rock","Portable 1","Portable",2014
"Auburn","Hazelwood Elementary",51.43,"Very Dense Soil and Soft Rock","Portable 2","Portable",2014
"Auburn","Ilalko Elementary",49.21,"Firm Soil - Soft Soil","Main Building","Permanent",1992
"Auburn","Ilalko Elementary",49.21,"Firm Soil - Soft Soil","Portable 411","Portable",1992
"Auburn","Ilalko Elementary",49.21,"Firm Soil - Soft Soil","Portable 412","Portable",1992
"Auburn","Ilalko Elementary",49.21,"Firm Soil - Soft Soil","Portable 413","Portable",2014
"Auburn","Ilalko Elementary",49.21,"Firm Soil - Soft Soil","Portable 414","Portable",2014
"Auburn","Ilalko Elementary",49.21,"Firm Soil - Soft Soil","Portable 415","Portable",2014
"Auburn","Lakeland Hills Elementary",50.95,"Very Dense Soil and Soft Rock","Main Building","Permanent",2006
"Auburn","Lakeland Hills Elementary",50.95,"Very Dense Soil and Soft Rock","Playshed","Permanent",2006
"Auburn","Lakeland Hills Elementary",50.95,"Very Dense Soil and Soft Rock","Portable 901/902","Portable",2009
"Auburn","Lakeland Hills Elementary",50.95,"Very Dense Soil and Soft Rock","Portable 903/904","Portable",2013
"Auburn","Lakeland Hills Elementary",50.95,"Very Dense Soil and Soft Rock","Portable 905","Portable",2014
"Auburn","Lakeland Hills Elementary",50.95,"Very Dense Soil and Soft Rock","Portable 906","Portable",2014
"Auburn","Lake View Elementary",51.05,"Very Dense Soil/Soft Rock - Firm Soil","Portable 601","Portable",1989
"Auburn","Lake View Elementary",51.05,"Very Dense Soil/Soft Rock - Firm Soil","Portable 602","Portable",1989
"Auburn","Lake View Elementary",51.05,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",1980
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","100 Building","Permanent",1965
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","200 Building","Permanent",1965
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","300 Building","Permanent",1965
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","400 Building","Permanent",1965
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","500 building","Permanent",1965
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","600 Building","Permanent",1965
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","Covered Play Structure","Permanent",1990
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","Portable P1","Portable",2003
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","Portable P2","Portable",2003
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","Portable P3","Portable",2003
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","Portable P4","Portable",1989
"Auburn","Lea Hill Elementary",51.26,"Very Dense Soil and Soft Rock","Portable P5","Portable",1989
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Main Building","Permanent",1994
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Track Storage","Permanent",1994
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Portable 901","Portable",2001
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Portable 902","Portable",2001
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Portable 903","Portable",2005
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Portable 904","Portable",2005
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Portable 905/906","Portable",2008
"Auburn","Mt Baker Middle",49.21,"Firm Soil - Soft Soil","Portable 907/908","Portable",2009
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","100 Building","Permanent",1957
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","200 Building","Permanent",1982
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","300 Building","Permanent",1957
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","400 Building","Permanent",1957
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","500 Building","Permanent",1957
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","600 Building","Permanent",1957
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","700 Building","Permanent",1957
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","800 Building","Permanent",1974
"Auburn","Olympic Middle",49.32,"Firm Soil - Soft Soil","900 Building","Permanent",1957
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Classroom Building","Permanent",1959
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Main Building","Permanent",1959
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Portable 1","Portable",1989
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Portable 2","Portable",1989
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Portable 3","Portable",1989
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Portable 4","Portable",2014
"Auburn","Pioneer Elementary",49.27,"Firm Soil - Soft Soil","Portable 5","Portable",2014
"Auburn","Rainier Middle",51.44,"Very Dense Soil and Soft Rock","Main Building","Permanent",1991
"Auburn","Rainier Middle",51.44,"Very Dense Soil and Soft Rock","Portable 1","Portable",1993
"Auburn","Rainier Middle",51.44,"Very Dense Soil and Soft Rock","Portable 2","Portable",1993
"Auburn","Rainier Middle",51.44,"Very Dense Soil and Soft Rock","Portable 3","Portable",1993
"Auburn","Rainier Middle",51.44,"Very Dense Soil and Soft Rock","Portable 4","Portable",1997
"Auburn","Rainier Middle",51.44,"Very Dense Soil and Soft Rock","Portable 5","Portable",1997
"Auburn","Terminal Park Elementary",49.44,"Firm Soil - Soft Soil","Main Building","Permanent",1945
"Auburn","Terminal Park Elementary",49.44,"Firm Soil - Soft Soil","Portable 3","Portable",2014
"Auburn","Terminal Park Elementary",49.44,"Firm Soil - Soft Soil","Portables","Portable",1989
"Auburn","Washington Elementary",49.55,"Firm Soil - Soft Soil","Main Building","Permanent",1972
"Auburn","Washington Elementary",49.55,"Firm Soil - Soft Soil","Multipurpose Room Building","Permanent",1972
"Auburn","Washington Elementary",49.55,"Firm Soil - Soft Soil","Portable 601","Portable",2014
"Auburn","West Auburn Senior High",49.67,"Firm Soil - Soft Soil","Main Building","Permanent",1963
"Auburn","West Auburn Senior High",49.67,"Firm Soil - Soft Soil","Shop Building","Permanent",1963
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","100 Building","Permanent",1970
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","600 Building Music and Band","Permanent",1989
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","400 Building","Permanent",1999
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","300 Building","Permanent",1981
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","200 Building","Permanent",2009
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","Teen Center","Portable",1970
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","500 Building","Permanent",1981
"Bainbridge Island","Bainbridge High",58.54,"Very Dense Soil and Soft Rock","Stadium","Permanent",1981
"Bainbridge Island","Captain Charles Wilkes Elementary",54.98,"Very Dense Soil and Soft Rock","Main Building","Permanent",2013
"Bainbridge Island","Captain Johnston Blakely Elementary",63.32,"Very Dense Soil and Soft Rock","Portable B","Portable",1990
"Bainbridge Island","Captain Johnston Blakely Elementary",63.32,"Very Dense Soil and Soft Rock","Covered Play","Permanent",1989
"Bainbridge Island","Captain Johnston Blakely Elementary",63.32,"Very Dense Soil and Soft Rock","Main Building","Permanent",1965
"Bainbridge Island","Captain Johnston Blakely Elementary",63.32,"Very Dense Soil and Soft Rock","Portable A","Portable",1990
"Bainbridge Island","Captain Johnston Blakely Elementary",63.32,"Very Dense Soil and Soft Rock","Portable D","Portable",2006
"Bainbridge Island","Captain Johnston Blakely Elementary",63.32,"Very Dense Soil and Soft Rock","Portable C","Portable",2006
"Bainbridge Island","Commodore Options",58.62,"Very Dense Soil and Soft Rock","Commodore Options School","Permanent",1948
"Bainbridge Island","Ordway Elementary",58.05,"Very Dense Soil and Soft Rock","Portable E","Portable",1989
"Bainbridge Island","Ordway Elementary",58.05,"Very Dense Soil and Soft Rock","Portable F","Portable",1989
"Bainbridge Island","Ordway Elementary",58.05,"Very Dense Soil and Soft Rock","Covered Play","Permanent",1989
"Bainbridge Island","Ordway Elementary",58.05,"Very Dense Soil and Soft Rock","Kindergarten Addition","Permanent",1989
"Bainbridge Island","Ordway Elementary",58.05,"Very Dense Soil and Soft Rock","Main Building","Permanent",1978
"Bainbridge Island","Ordway Elementary",58.05,"Very Dense Soil and Soft Rock","Portable D","Portable",1989
"Bainbridge Island","Sakai Intermediate",56.93,"Very Dense Soil and Soft Rock","Main Building","Permanent",1999
"Bainbridge Island","Woodward Middle",57.39,"Very Dense Soil and Soft Rock","Portable E","Portable",1995
"Bainbridge Island","Woodward Middle",57.39,"Very Dense Soil and Soft Rock","Main Building","Permanent",1994
"Bainbridge Island","Woodward Middle",57.39,"Very Dense Soil and Soft Rock","Portable F","Portable",1995
